Cause,Fuels Involved,Incident Type,Perimeter Contained (%),Personnel Involved,Fire Size (Acres),Latitude,Longitude,ISO Date,Region
Unknown,"Short Grass, Brush, Sage Brush, Juniper",Wildfire,90,142,7633,41.004,-109.272,2020-08-03T14:00:00,Utah
Unknown,,Wildfire,95,58,7115,40.954,-114.344,2020-08-02T14:07:00,Nevada
Lightning,,Wildfire,100,30,11405,,,2020-07-29T16:30:00,Arizona
Lightning,,Wildfire,97,201,684,40.336,-121.51,2020-08-01T14:00:00,California
Lightning,,Wildfire,,,15,40.841,-122.885,2020-07-22T20:00:00,California
,,Wildfire,,,1,,,2020-06-28T14:30:00,Nevada
Under Investigation,,Wildfire,98,134,594,36.899,-119.24,2020-08-03T12:45:00,California
Human Caused,"Rough Terrain, heavy fuel loading, continuous fuel",Wildfire,95,9,1367,43.273,-102.711,2020-08-06T17:00:00,South Dakota
Lightning,,Wildfire,95,115,3391,,,2020-08-05T16:00:00,Oregon
Lightning,,Wildfire,100,233,2112,,,2020-08-05T23:00:00,Idaho
Lightning,,Wildfire,100,5,107,,,2020-06-15T14:30:00,Colorado
Lightning,,Wildfire,100,5,85,45.205,-119.194,2020-07-28T15:39:00,Oregon
,"grass, brush",Wildfire,100,32,252,31.513,-98.84200000000001,2020-08-11T19:00:00,Texas
,"grass, brush",Wildfire,100,18,2654,32.959,-98.28,2020-08-10T16:15:00,Texas
Lightning,,Wildfire,,,81,,,2020-07-24T00:00:00,California
Lightning,"timber, brush",Wildfire,75,149,430,47.99100000000001,-120.7,2020-07-31T00:00:00,Washington
Under Investigation,,Wildfire,80,22,2,,,2020-08-13T13:45:00,California
Debris Burning,,Wildfire,100,,478,31.334,-99.76899999999999,2020-08-13T17:15:00,Texas
Lightning,,Wildfire,85,3,171,37.654,-106.86,2020-06-28T13:00:00,Colorado
,,Wildfire,100,,70,,,2020-08-13T19:00:00,Texas
,,Wildfire,,,,32.236999999999995,-110.53399999999999,,Arizona
Unknown,"Highway 14 is closed from Rustic to Gould. Larimer County has issued evacuation orders for areas around the fire from Highway 14 north to Deadman Road and Four Corners, from Red  Feather Lakes west to Cameron Pass.",Wildfire,,120,5424,40.609,-105.87899999999999,2020-08-13T13:48:00,Colorado
Human Caused,,Wildfire,30,751,985,45.655,-121.376,2020-08-12T00:00:00,Washington
,,Wildfire,70,,67,32.935,-98.13600000000001,2020-08-14T17:10:00,Texas
,,Wildfire,100,,104,33.646,-98.322,2020-08-14T12:30:00,Texas
Lightning,,Wildfire,10,102,1509,33.667,-105.62899999999999,2020-08-04T16:30:00,New Mexico
Lightning,,Wildfire,50,345,438,43.982,-116.05799999999999,2020-08-06T01:55:00,Idaho
,,Wildfire,,,,32.204,-110.54700000000001,,Arizona
,,Wildfire,95,,25,30.093000000000004,-97.20299999999999,,Texas
Accidental Roadside Start,,Wildfire,95,101,400,,,2020-08-13T16:30:00,Texas
Unknown,"Extreme,Crowning,Running,Spotting,Narrative:,Fire spread is primarily wind and topography driven. Extreme fire behavior is expected when winds and,slope align. Fire is burning in and near several large canyons",Wildfire,,553,19440,39.571999999999996,-107.266,2020-08-10T13:30:00,Colorado
Unknown,,Wildfire,99,92,7760,35.465,-118.544,2020-08-03T15:30:00,California
Lightning,Timber and brush,Wildfire,,318,4663,44.858000000000004,-113.43700000000001,2020-08-11T10:30:00,Idaho
Lightning,,Wildfire,10,319,12100,40.818000000000005,-119.648,2020-08-12T15:16:00,California
Lightning,,Wildfire,35,1490,10895,,,2020-07-27T11:03:00,California
Lightning,shrubs/trees/grasses,Wildfire,10,40,2147,,,2020-08-13T00:00:00,Arizona
Human Caused,,Wildfire,3,143,1400,,,2020-08-13T14:53:00,California
Human Caused,,Wildfire,90,897,33424,33.998000000000005,-116.93299999999999,2020-07-31T17:00:00,California
